Table_Name;Rule
*;OFA
*;CRA
*;ARC
AADVO;XFA
AAFRL;XCA
AAFRO;XFA
AASPL;XCA
AASPS;XRA
ABA1L;XCA
ABASL;XCA
ABCLL;XFA
ABCLO;XFA
ABUDL;XCA
ACVRO;XFA
ADETL;XCA
ADETS;XUA
ADLGL;XCA
ADSNL;XCA
AEVTO;XCA
AEXRL;XCA
AEXRS;XFA
AGEXL;XCA
AIBRL;XFA
AIBRO;XFA
AINIO;XFA
AINTL;XCA
AINTS;XFA
AJSTL;XCA
AJSTO;XDA
ALGRL;XCA
AMVTO;XFA
ANEUL;XCA
ANTUL;XCA
APPNL;XCA
APPNO;XFA
ARBRL;XCA
ARCDL;XCA
AREIO;XFA
ARESL;XCA
ARETL;XCA
ARETO;XFA
AROTL;XCA
ARPPO;XFA
ASELL;XCA
ASPAL;XCA
ATADL;XCA
ATAHL;XCA
ATAXL;XCA
ATDCL;XCA
ATDCS;XFA
ATMPO;XCA
ATRCL;XCA
ATRDO;XCA
ATRTL;XCA
ATXCL;XCA
BASWO;XFA
BBOKS;XFA
BDLGO;XFA
BDLTO;XFA
BISSO;XFA
BITTO;XFA
BPOTO;XFA
BREDO;XFA
CBFMO;RMV
CCDIL;XCA
CCFPO;XFA
CCGRL;XCA
CCGRS;XFA
CCMHL;XCA
CCMHO;XFA
CCOCO;RMV
CCOML;XCA
CDFAO;XFA
CEXPS;XFA
CFACL;XCA
CFACO;XFA
CFACS;XRA
CFATO;RMV
CFCRO;XFA
CFDDL;XCA
CFDDO;XFA
CFFEO;XFA
CFRSO;XFA
CFUPO;XFA
CGUAL;XCA
CGUAS;XFA
CGUCL;XCA
CGURL;XCA
CGURO;XFA
CMHIO;XFA
CMRGL;XCA
CMRGO;XFA
CMTBL;XCA
CMTBO;XFA
CMTCO;XFA
CMTCS;XFA
CMTIO;XFA
CMTLO;XFA
COMSO;XFA
CPBCO;C2T
CPBGO;RMV
CPBPO;C2S
CPTIL;XCA
CREPL;RMV
CREPO;RMV
CROCO;XFA
CRTRO;XFA
CRXMO;XFA
CSCOL;XCA
CSECL;XCA
CSEIO;RMV
CSHAL;RMV
CSHAO;RMV
CSHCO;RMV
CSHDS;RMV
CSHML;RMV
CSHMO;RMV
CSHOO;RMV
CSHRO;RMV
CSHTL;RMV
CSHTO;RMV
CSHVO;RMV
CSIMS;XFA
CSSHL;RMV
CSSHO;RMV
DCBMO;XFA
DCLHO;XFA
DCLTO;XFA
DCNDL;XCA
DCNDO;XFA
DCNIO;RMV
DCNTL;XCA
DCNTO;XFA
DCONO;XFA
DCTRO;XFA
DDDCL;XCA
DDDCO;XFA
DFSCI;XFA
DFSCL;XCA
DFSCO;XFA
DPTRL;XCA
DRDIL;XCA
DRPTO;RMV
DSTIO;XFA
DSTOO;XFA
GMONO;XFA
GRTPO;XRA
GSADO;XCA
GSAMO;XCA
IAUTL;XCA
IBATO;XFA
IBBDO;RMV
IBDDO;XFA
IBDHO;XFA
ICBRO;XFA
ICNDL;XCA
ICNFL;XCA
ICNFS;XFA
ICOPL;XCA
ICVBS;XFA
IERBS;XFA
IERMO;RMV
IFCPO;XFA
IFCSL;XCA
IFCSO;XCA
IFFCL;RMV
IFFCO;XFA
IFFDO;XFA
IFFOO;XFA
IFFTO;XFA
IFFVO;XFA
IFPSO;XFA
IFRAL;XCA
IFRAO;XFA
IFRCL;XCA
IFRCO;XCA
IFRPL;XCA
IFRPO;XCA
IFTCO;XFA
IFTSO;XFA
IFXCL;XCA
IFXCO;XFA
IFXPL;XCA
IFXPO;XCA
IGIRO;XFA
IGLDO;XFA
IHMCL;XCA
IHMCS;RMV
IIFFO;XFA
IIFRO;XFA
IIFXO;XFA
IILDO;XFA
IINIO;XFA
IINTL;XCA
IIOPO;XFA
IIRSO;XFA
ILDPL;XCA
ILDPO;XCA
ILNGL;XCA
ILNGS;XFA
IMAGO;RMV
INETO;XFA
INVMO;XFA
IOPCO;XCA
IOPPL;XCA
IOPPO;XCA
IOPTS;XFA
IRCVO;XFA
IRSCO;XCA
IRSPL;XCA
IRSPO;XCA
ISAVO;XFA
ISIML;XCA
ISIMO;XFA
ISWCO;XFA
ITIRO;XFA
ITLDO;XFA
ITOLL;RMV
IWARL;XCA
LBGRL;XCA
LBGRS;XFA
LBIRO;XFA
LBRAL;XCA
LBRAS;XFA
LBRCL;XCA
LBRCS;XFA
LBROL;XCA
LBROS;XFA
LBSKL;RMV
LBSKS;RMV
LCBNL;XCA
LCBNS;XFA
LCCCL;XCA
LCCCS;XFA
LCCYL;XCA
LCCYS;XFA
LCGRL;XCA
LCGRS;XFA
LCIYL;XCA
LCIYS;XFA
LCLIL;XCA
LCLIS;XFA
LCORO;XFA
LCPSL;XCA
LCPSS;XFA
LCRYL;XCA
LCRYS;XFA
LCSTL;XCA
LCSTS;XFA
LCTIO;XFA
LCTPL;XCA
LCTPS;XFA
LCTSL;XCA
LCTSO;XFA
LEBAO;XFA
LELCL;XCA
LELCS;XFA
LELIO;XFA
LGRDL;XFA
LGRDO;XFA
LGXFL;XFA
LGXFO;XFA
LHOLL;XFA
LHOLO;XFA
LPHIO;XFA
LPHYL;XCA
LPHYS;XFA
LPRCL;XCA
LPRDL;XCA
LPRDS;XFA
LPRFS;XFA
LPSIO;XFA
LPSNL;XCA
LPSNS;XFA
LRCEL;XCA
LRCEO;XFA
LRCES;XFA
LRCLL;XFA
LRESS;XFA
LSUPS;XFA
LTARO;XFA
PRSNL;XFA
REFFL;XFA
RPSCH;XFA
RSTRT;XFA
TSHNO;RMV
XGBUL;XCA
XGDCL;XCA
XGMVL;XCA
XGPAL;XCA
XGPML;XCA
*;VLN
