Program_Name;IFS_4P_Module
AACDM;Core_Banking
AADV1;Core_Banking
AADVC;Core_Banking
AADVO;Core_Banking
AAFR5;Core_Banking
AAFRC;Core_Banking
AAFRL;Core_Banking
AAFRO;Core_Banking
AAIS5;Core_Banking
AAISC;Core_Banking
AAISO;Core_Banking
AAS2C;Core_Banking
AASPL;Core_Banking
AASPS;Core_Banking
ABA14;Core_Banking
ABA15;Core_Banking
ABA1L;Core_Banking
ABA1S;Core_Banking
ABA2C;Core_Banking
ABAS1;Core_Banking
ABAS4;Core_Banking
ABAS5;Core_Banking
ABASL;Core_Banking
ABASS;Core_Banking
ABCLL;Financial_Markets
ABCLM;Financial_Markets
ABCLO;Financial_Markets
ABKT5;Core_Banking
ABKTA;Core_Banking
ABKTC;Core_Banking
ABKTL;Core_Banking
ABKTS;Core_Banking
ABUDL;Core_Banking
ABUDS;Core_Banking
AC2IC;Core_Banking
ACH2C;Core_Banking
ACHAC;Core_Banking
ACHIC;Core_Banking
ACHIF;Core_Banking
ACLOG;Core_Banking
ACNVC;Core_Banking
ACVRM;Core_Banking
ACVRO;Core_Banking
ADBA1;Core_Banking
ADBA2;Core_Banking
ADEI5;Core_Banking
ADEIC;Core_Banking
ADEIF;Core_Banking
ADEIO;Core_Banking
ADET1;Core_Banking
ADET4;Core_Banking
ADET5;Core_Banking
ADETL;Core_Banking
ADETS;Core_Banking
ADLG1;Core_Banking
ADLG4;Core_Banking
ADLG5;Core_Banking
ADLGL;Core_Banking
ADLGS;Core_Banking
ADSN4;Core_Banking
ADSNL;Core_Banking
ADSNS;Core_Banking
AEDIC;Core_Banking
AEGAC;Core_Banking
AEV1C;Core_Banking
AEVT5;Core_Banking
AEVTO;Core_Banking
AEXR5;Core_Banking
AEXRL;Core_Banking
AEXRS;Core_Banking
AFOLC;Core_Banking
AFOLO;Core_Banking
AGEX4;Core_Banking
AGEXL;Core_Banking
AGEXS;Core_Banking
AHLB4;Core_Banking
AHLBO;Core_Banking
AHLP1;Core_Banking
AHLP2;Core_Banking
AHVB4;Core_Banking
AHVB5;Core_Banking
AHVB6;Core_Banking
AHVBO;Core_Banking
AIBRL;Core_Banking
AIBRM;Core_Banking
AIBRO;Core_Banking
AINDC;Core_Banking
AINI5;Core_Banking
AINIC;Core_Banking
AINIF;Core_Banking
AINIO;Core_Banking
AINT1;Core_Banking
AINT5;Core_Banking
AINTL;Core_Banking
AINTS;Core_Banking
AISTO;Core_Banking
AJST1;Core_Banking
AJST5;Core_Banking
AJST6;Core_Banking
AJST7;Core_Banking
AJSTC;Core_Banking
AJSTL;Core_Banking
AJSTO;Core_Banking
AKHDCNDO;Core_Banking
ALACCJUS1;Core_Banking
ALACCJUS6;Core_Banking
ALACCJUS8;Core_Banking
ALACCJUS9;Core_Banking
ALACCLST;Core_Banking
ALACPINT;Core_Banking
ALADBAL;Core_Banking
ALADLGS;Core_Banking
ALAFRAUT;Core_Banking
ALAIBRTAB;Core_Banking
ALANTUS;Core_Banking
ALARETAUT;Core_Banking
ALAUBKEBKT;Core_Banking
ALAUBKETAB;Core_Banking
ALAUBKETRC;Core_Banking
ALAUBKETRT;Core_Banking
ALAUDINVCE;Core_Banking
ALBA1AUT;Core_Banking
ALBA1S;Core_Banking
ALBASS;Core_Banking
ALBDP001;Core_Banking
ALBILHOF;Core_Banking
ALBMBHOF;Core_Banking
ALBOE052;Core_Banking
ALBSH187;Core_Banking
ALBSH188;Core_Banking
ALBSH500;Core_Banking
ALBSH600;Core_Banking
ALBSHHOF;Core_Banking
ALBSHXLS;Core_Banking
ALCAUSSTQ;Core_Banking
ALCBI001;Core_Banking
ALCHARGES;Core_Banking
ALCHKDEC;Core_Banking
ALCNDCUSSM;Core_Banking
ALCNVCLSAC;Core_Banking
ALCONDCUST;Core_Banking
ALCPLBAL;Core_Banking
ALCRYMONIT;Payment_And_Cash_Management
ALCUSBAL;Payment_And_Cash_Management
ALCUSTMIL;Core_Banking
ALDETAUT;Core_Banking
ALDETBSC;Core_Banking
ALDETBSH;Core_Banking
ALDETHOF;Core_Banking
ALDETPOL;Core_Banking
ALDLAVGBAL;Core_Banking
ALDLBSHRCN;Core_Banking
ALDLCBITAC;Core_Banking
ALDLCBITCS;Core_Banking
ALDLCBITLC;Core_Banking
ALDLCBITMV;Core_Banking
ALDLCBRCTP;Core_Banking
ALDLCBRPT;Core_Banking
ALDLCTPSIS;Core_Banking
ALDLCUSBAL;Core_Banking
ALDLL372NY;Core_Banking
ALDLLABA1S;Core_Banking
ALDLLACCR;Core_Banking
ALDLLADETS;Core_Banking
ALDLLATLAS;Core_Banking
ALDLLAWV;Core_Banking
ALDLLBALBV;Core_Banking
ALDLLBOS;Core_Banking
ALDLLCBRAT;Core_Banking
ALDLLCBRGE;Core_Banking
ALDLLCCRCN;Core_Banking
ALDLLCPCA;Core_Banking
ALDLLCRSGE;Core_Banking
ALDLLCUSAC;Core_Banking
ALDLLCUST;Core_Banking
ALDLLDIBA;Core_Banking
ALDLLELSAG;Core_Banking
ALDLLGFRS;Core_Banking
ALDLLGRP1;Core_Banking
ALDLLGRP2;Core_Banking
ALDLLGXINV;Core_Banking
ALDLLINT;Core_Banking
ALDLLINT2;Core_Banking
