Table_Name;IFS_4T_Module
AADVO;Core_Banking
AAFRL;Core_Banking
AAFRO;Core_Banking
AAISO;Core_Banking
AASPL;Core_Banking
AASPS;Core_Banking
ABA1L;Core_Banking
ABA1S;Core_Banking
ABASL;Core_Banking
ABASS;Core_Banking
ABCLL;Financial_Markets
ABCLO;Financial_Markets
ABKTL;Core_Banking
ABKTS;Core_Banking
ABUDL;Core_Banking
ABUDS;Core_Banking
ACLOG;Core_Banking
ACVRO;Core_Banking
ADEIO;Core_Banking
ADETL;Core_Banking
ADETS;Core_Banking
ADLGL;Core_Banking
ADLGS;Core_Banking
ADSNL;Core_Banking
ADSNS;Core_Banking
AEVTO;Core_Banking
AEXRL;Core_Banking
AEXRS;Core_Banking
AFOLO;Core_Banking
AGEXL;Core_Banking
AGEXS;Core_Banking
AHLBO;Core_Banking
AHVBO;Core_Banking
AIBRL;Core_Banking
AIBRO;Core_Banking
AINIO;Core_Banking
AINTL;Core_Banking
AINTS;Core_Banking
AISTO;Core_Banking
AJSTL;Core_Banking
AJSTO;Core_Banking
ALGRL;Core_Banking
ALGRS;Core_Banking
AMDCO;Core_Banking
AMVTO;Core_Banking
ANEUL;Core_Banking
ANEUO;Core_Banking
ANTUL;Core_Banking
ANTUS;Core_Banking
APPNL;Core_Banking
APPNO;Core_Banking
ARBRL;Core_Banking
ARBRO;Core_Banking
ARCDL;Core_Banking
ARCDO;Core_Banking
AREIO;Core_Banking
ARESL;Core_Banking
ARESS;Core_Banking
ARETL;Core_Banking
ARETO;Core_Banking
AROTL;Core_Banking
AROTO;Core_Banking
ARPPO;Core_Banking
ASELL;Core_Banking
ASELO;Core_Banking
ASPAL;Core_Banking
ASPAS;Core_Banking
ASPIO;Core_Banking
ASTDO;Core_Banking
ASTMO;Core_Banking
ASTMS;Core_Banking
ATADL;Core_Banking
ATADO;Core_Banking
ATAHL;Core_Banking
ATAHS;Core_Banking
ATAXL;Core_Banking
ATAXO;Core_Banking
ATDCL;Core_Banking
ATDCS;Core_Banking
ATMPO;Core_Banking
ATRCL;Core_Banking
ATRCS;Core_Banking
ATRDO;Core_Banking
ATRTL;Core_Banking
ATRTS;Core_Banking
ATXCL;Core_Banking
ATXCO;Core_Banking
BASWO;Financial_Markets
BATCH;Core_Banking
BBOKS;Financial_Markets
BDLAO;Financial_Markets
BDLGL;Financial_Markets
BDLGO;Financial_Markets
BDLPO;Financial_Markets
BDLTO;Financial_Markets
BICTO;Financial_Markets
BISPO;Financial_Markets
BISSO;Financial_Markets
BITTO;Financial_Markets
BPOTO;Financial_Markets
BPRDO;Financial_Markets
BREDO;Financial_Markets
BREPO;Financial_Markets
BRPIO;Financial_Markets
BSPIO;Financial_Markets
CBFMO;Core_Banking
CC3PL;Lending
CC3PO;Lending
CCBRO;Lending
CCDIL;Lending
CCDIS;Lending
CCFPO;Lending
CCGRL;Lending
CCGRS;Lending
CCMHL;Lending
CCMHO;Lending
CCOCL;Core_Banking
CCOCO;Lending
CCOML;Lending
CCOMS;Lending
CCORL;Lending
CCORO;Lending
CCREO;Lending
CCRXO;Core_Banking
CCUSO;Financial_Markets
CDFAO;Lending
CDIAL;Lending
CDIAO;Lending
CEXPS;Lending
CEXRO;Core_Banking
CEXSO;Lending
CFACL;Lending
CFACO;Lending
CFACS;Lending
CFAIO;Lending
CFATO;Lending
CFCRO;Lending
CFDDL;Lending
CFDDO;Lending
CFFEO;Lending
CFRSL;Lending
CFRSO;Lending
CFUPO;Lending
CFUSO;Lending
CFXRO;Lending
CGATO;Lending
CGUAL;Lending
CGUAS;Lending
CGUCL;Lending
CGUCO;Lending
CGURL;Lending
CGURO;Lending
CHFCO;Lending
CMHIO;Lending
CMRGL;Core_Banking
CMRGO;Core_Banking
CMTBL;Lending
CMTBO;Financial_Markets
CMTCO;Financial_Markets
CMTCS;Financial_Markets
CMTIO;Lending
CMTLL;Lending
CMTLO;Lending
COMSO;Lending
CPBCO;Financial_Markets
CPBGO;Financial_Markets
CPBPO;Financial_Markets
CPTIL;Lending
CPTIO;Lending
CREPL;Lending
CREPO;Lending
CREXO;Lending
CRISO;Lending
CROCL;Lending
CROCO;Lending
CRTRO;Core_Banking
CRXMO;Financial_Markets
CSCOL;Lending
CSCOO;Lending
CSECL;Lending
CSECS;Lending
CSEIO;Lending
CSHAL;Financial_Markets
CSHAO;Financial_Markets
CSHCO;Financial_Markets
CSHDS;Financial_Markets
CSHML;Financial_Markets
CSHMO;Financial_Markets
CSHOO;Financial_Markets
CSHRO;Financial_Markets
CSHTL;Financial_Markets
CSHTO;Financial_Markets
CSHVO;Financial_Markets
CSIMS;Lending
CSLFO;Core_Banking
CSSHL;Financial_Markets
