Program_Name;IFS_7P_Module;IFS_4P_Module;ProgramType
AACDM;MDM_Management;Core_Banking;I
AADV1;Finance;Core_Banking;I
AADVC;Account_Management;Core_Banking;I
AADVO;Account_Management;Core_Banking;I
AAFR5;Finance;Core_Banking;I
AAFRC;Account_Management;Core_Banking;I
AAFRL;Account_Management;Core_Banking;I
AAFRO;Account_Management;Core_Banking;I
AAIS5;Account_Management;Core_Banking;I
AAISC;Finance;Core_Banking;I
AAISO;Finance;Core_Banking;I
AAS2C;Finance;Core_Banking;I
AASPL;Finance;Core_Banking;I
AASPS;TECHNICAL_KERNEL;Core_Banking;I
ABA14;TECHNICAL_KERNEL;Core_Banking;I
ABA15;TECHNICAL_KERNEL;Core_Banking;I
ABA1L;Finance;Core_Banking;I
ABA1S;Finance;Core_Banking;I
ABA2C;Finance;Core_Banking;I
ABAS1;Finance;Core_Banking;I
ABAS4;Finance;Core_Banking;I
ABAS5;Finance;Core_Banking;I
ABASL;Finance;Core_Banking;I
ABASS;Finance;Core_Banking;I
ABCLL;Financial_Markets;Financial_Markets;I
ABCLM;Financial_Markets;Financial_Markets;I
ABCLO;Financial_Markets;Financial_Markets;I
ABKT5;Finance;Core_Banking;I
ABKTA;Finance;Core_Banking;I
ABKTC;Finance;Core_Banking;I
ABKTL;Finance;Core_Banking;I
ABKTS;Finance;Core_Banking;I
ABUDL;Finance;Core_Banking;I
ABUDS;Finance;Core_Banking;I
AC2IC;Account_Management;Core_Banking;I
ACH2C;Account_Management;Core_Banking;I
ACHAC;Account_Management;Core_Banking;I
ACHIC;Account_Management;Core_Banking;I
ACHIF;Account_Management;Core_Banking;I
ACLOG;TECHNICAL_KERNEL;Core_Banking;I
ACNVC;Account_Management;Core_Banking;I
ACVRM;Account_Management;Core_Banking;I
ACVRO;MDM_Management;Core_Banking;I
ADBA1;MDM_Management;Core_Banking;I
ADBA2;Account_Management;Core_Banking;I
ADEI5;Account_Management;Core_Banking;I
ADEIC;Account_Management;Core_Banking;I
ADEIF;Account_Management;Core_Banking;I
ADEIO;Account_Management;Core_Banking;I
ADET1;Account_Management;Core_Banking;I
ADET4;Account_Management;Core_Banking;I
ADET5;Account_Management;Core_Banking;I
ADETL;Account_Management;Core_Banking;I
ADETS;Account_Management;Core_Banking;I
ADLG1;Finance;Core_Banking;I
ADLG4;Finance;Core_Banking;I
ADLG5;Finance;Core_Banking;I
ADLGL;Finance;Core_Banking;I
ADLGS;Finance;Core_Banking;I
ADSN4;Finance;Core_Banking;I
ADSNL;Finance;Core_Banking;I
ADSNS;Finance;Core_Banking;I
AEDIC;TECHNICAL_KERNEL;Core_Banking;I
AEGAC;TECHNICAL_KERNEL;Core_Banking;I
AEV1C;Account_Management;Core_Banking;I
AEVT5;Account_Management;Core_Banking;I
AEVTO;Account_Management;Core_Banking;I
AEXR5;TECHNICAL_KERNEL;Core_Banking;I
AEXRL;TECHNICAL_KERNEL;Core_Banking;I
AEXRS;TECHNICAL_KERNEL;Core_Banking;I
AFOLC;Finance;Core_Banking;I
AFOLO;Finance;Core_Banking;I
AGEX4;Finance;Core_Banking;I
AGEXL;Finance;Core_Banking;I
AGEXS;Finance;Core_Banking;I
AHLB4;Finance;Core_Banking;I
AHLBO;Account_Management;Core_Banking;I
AHLP1;Account_Management;Core_Banking;I
AHLP2;Account_Management;Core_Banking;I
AHVB4;Account_Management;Core_Banking;I
AHVB5;Account_Management;Core_Banking;I
AHVB6;Account_Management;Core_Banking;I
AHVBO;Account_Management;Core_Banking;I
AIBRL;MDM_Management;Core_Banking;I
AIBRM;MDM_Management;Core_Banking;I
AIBRO;MDM_Management;Core_Banking;I
AINI5;MDM_Management;Core_Banking;I
AINIC;Account_Management;Core_Banking;I
AINIF;MDM_Management;Core_Banking;I
AINIO;Account_Management;Core_Banking;I
AINT1;Account_Management;Core_Banking;I
AINT5;Account_Management;Core_Banking;I
AINTL;TECHNICAL_KERNEL;Core_Banking;I
AINTS;Account_Management;Core_Banking;I
AISTO;Account_Management;Core_Banking;I
AJST1;Account_Management;Core_Banking;I
AJST5;Account_Management;Core_Banking;I
AJST6;Account_Management;Core_Banking;I
AJST7;Account_Management;Core_Banking;I
AJSTC;Finance;Core_Banking;I
AJSTL;Finance;Core_Banking;I
AJSTO;Finance;Core_Banking;I
AKHDCNDO;TECHNICAL_KERNEL;Core_Banking;R
ALACCJUS1;Finance;Core_Banking;R
ALACCJUS6;Finance;Core_Banking;R
ALACCJUS8;Finance;Core_Banking;R
ALACCJUS9;Finance;Core_Banking;R
ALACCLST;Finance;Core_Banking;R
ALACPINT;Finance;Core_Banking;R
ALADBAL;Account_Management;Core_Banking;R
ALADLGS;Finance;Core_Banking;R
ALAFRAUT;Finance;Core_Banking;R
ALAIBRTAB;MDM_Management;Core_Banking;R
ALANTUS;Account_Management;Core_Banking;R
ALARETAUT;Account_Management;Core_Banking;R
ALAUBKEBKT;Finance;Core_Banking;R
ALAUBKETAB;Finance;Core_Banking;R
ALAUBKETRC;Finance;Core_Banking;R
ALAUBKETRT;Finance;Core_Banking;R
ALAUDINVCE;Finance;Core_Banking;R
ALBA1AUT;Finance;Core_Banking;R
ALBA1S;Finance;Core_Banking;R
ALBASS;Finance;Core_Banking;R
ALBDP001;Finance;Core_Banking;R
ALBILHOF;UNUSED;Core_Banking;R
ALBMBHOF;UNUSED;Core_Banking;R
ALBOE052;Finance;Core_Banking;R
ALBSH187;Finance;Core_Banking;R
ALBSH188;Finance;Core_Banking;R
ALBSH500;Finance;Core_Banking;R
ALBSH600;Finance;Core_Banking;R
ALBSHHOF;Finance;Core_Banking;R
ALBSHXLS;Finance;Core_Banking;R
ALCAUSSTQ;Finance;Core_Banking;R
ALCBI001;Finance;Core_Banking;R
ALCHARGES;Finance;Core_Banking;R
ALCHKDEC;Account_Management;Core_Banking;R
ALCNVCLSAC;Account_Management;Core_Banking;R
ALCONDCUST;Account_Management;Core_Banking;R
ALCPLBAL;Account_Management;Core_Banking;R
ALCRYMONIT;Payment_And_Cash_Management;Payment_And_Cash_Management;R
ALCUSBAL;Payment_And_Cash_Management;Payment_And_Cash_Management;R
ALCUSTMIL;MDM_Management;Core_Banking;R
ALDETAUT;MDM_Management;Core_Banking;R
ALDETBSC;Finance;Core_Banking;R
ALDETBSH;Finance;Core_Banking;R
ALDETHOF;Account_Management;Core_Banking;R
ALDETPOL;Account_Management;Core_Banking;R
