Table;C;R;U;D;Program
AASPS;;R;;;ENDBATCH;
RSTRT;C;R;U;;ENDBATCH;
PRSNL;;R;;;ENDBATCH;
PRNTR;;R;;;ENDBATCH;
LPHYS;;R;;;ENDBATCH;
LRCES;;R;;;ENDBATCH;
RPSCH;;R;U;;ENDBATCH;
REFFL;;R;;;ENDBATCH;
RPDEF;;R;;;ENDBATCH;
SECUR;;R;;;ENDBATCH;
REFFL;;R;;;XLBUDLIST;
RPSCH;C;R;U;;XLBUDLIST;
SECUR;;R;;;XLBUDLIST;
AASPS;;R;;;XLBUDLIST;
RSTRT;C;R;U;;XLBUDLIST;
PRSNL;;R;;;XLBUDLIST;
PRNTR;;R;;;XLBUDLIST;
RPDEF;;R;;;XLBUDLIST;
LPHYS;;R;;;XLBUDLIST;
LRCES;;R;;;XLBUDLIST;
GMSGS;;R;;;XLBUDLIST;
XGBUO;;R;;;XLBUDLIST;
REFFL;;R;;;IRCV1;
ACLOG;;R;U;;IRCV1;
GSEMO;;R;;;IRCV1;
ICNFS;;R;;;IRCV1;
GMONO;C;;;;IRCV1;
PRSNL;;R;U;;IRCV1;
SECUR;;R;;;IRCV1;
GMSGS;;R;;;IRCV1;
AASPS;;R;;;IRCV1;
DEFIN;;R;;;IRCV1;
IFXCO;;R;U;;IRCV1;
IGLDO;;R;U;;IRCV1;
IIFXO;;R;U;;IRCV1;
IILDO;;R;U;;IRCV1;
IRCVO;;R;;;IRCV1;
LPRDS;;R;;;IRCV1;
ACLOG;;R;U;;IFFC1;
GSEMO;;R;;;IFFC1;
ICNFS;;R;;;IFFC1;
GMONO;C;;;;IFFC1;
SECUR;;R;;;IFFC1;
PRSNL;;R;U;;IFFC1;
GMSGS;;R;;;IFFC1;
DEFIN;;R;;;IFFC1;
IFFCO;C;R;U;D;IFFC1;
REFFL;;R;;;IFFC1;
LCCYS;;R;;;IFFC1;
AASPS;;R;;;IFFC1;
IFFCL;C;;;;IFFC1;
GBTRO;C;R;U;D;LOJEOD;
BATCH;;R;;;LOJEOD;
AASPS;;R;;;LOJEOD;
REFFL;;R;;;LLSTOCK1;
LBRAS;;R;;;LLSTOCK1;
LBGRS;;R;;;LLSTOCK1;
RPSCH;C;R;U;;LLSTOCK1;
SECUR;;R;;;LLSTOCK1;
AASPS;;R;;;LLSTOCK1;
RSTRT;C;R;U;;LLSTOCK1;
PRSNL;;R;;;LLSTOCK1;
PRNTR;;R;;;LLSTOCK1;
RPDEF;;R;;;LLSTOCK1;
LRCES;;R;;;LLSTOCK1;
GMSGS;;R;;;LLSTOCK1;
LPHYS;;R;;;LLSTOCK1;
LCBNS;;R;U;;LLSTOCK1;
LCTPS;;R;;;LLSTOCK1;
ADETS;;R;U;;LLSTOCK1;
LCCYS;;R;;;CI-001-ICALC-STDT;
LHOLO;;R;;;CI-001-ICALC-STDT;
CCMHO;;R;;;CI-001-ICALC-STDT;
CMHIO;;R;;;CI-001-ICALC-STDT;
CMTIO;;R;;;CI-001-ICALC-STDT;
CMTLO;;R;;;CI-001-ICALC-STDT;
REFFL;;R;;;GP-043-HIDEZONE;
LCRYS;;R;;;DUDLLBE04;
LCTPS;;R;;;DUDLLBE04;
IBATO;C;R;U;;DUDLLBE04;
RPSCH;;R;U;;DUDLLBE04;
RSTRT;C;R;U;;DUDLLBE04;
PRSNL;;R;;;DUDLLBE04;
PRNTR;;R;;;DUDLLBE04;
RPDEF;;R;;;DUDLLBE04;
LPHYS;;R;;;DUDLLBE04;
LRCES;;R;;;DUDLLBE04;
CEXRO;;R;;;DUDLLBE04;
CMRGO;;R;;;DUDLLBE04;
AEXRS;;R;;;DUDLLBE04;
IERBS;;R;;;DUDLLBE04;
ACVRO;;R;;;DUDLLBE04;
LCBNS;;R;;;DUDLLBE04;
ABA1S;;R;;;DUDLLBE04;
LCIYS;;R;;;DUDLLBE04;
ADETS;;R;;;DUDLLBE04;
DSLVO;;R;;;DUDLLBE04;
GCNVO;;R;;;DUDLLBE04;
REFFL;;R;U;;DUDLLBE04;
DPTRO;;R;U;;DUDLLBE04;
LBRAS;;R;;;DUDLLBE04;
DDETO;;R;;;DUDLLBE04;
LELCS;;R;;;DUDLLBE04;
LCCYS;;R;;;DUDLLBE04;
DCTRO;;R;;;DUDLLBE04;
AASPS;;R;;;DUDLLBE04;
RPSCH;C;R;U;;CLCALLDEP;
SECUR;;R;;;CLCALLDEP;
AASPS;;R;;;CLCALLDEP;
RSTRT;C;R;U;;CLCALLDEP;
PRSNL;;R;;;CLCALLDEP;
PRNTR;;R;;;CLCALLDEP;
RPDEF;;R;;;CLCALLDEP;
GMSGS;;R;;;CLCALLDEP;
GPRTO;;R;;;CLCALLDEP;
BDLGO;;R;;;CLCALLDEP;
BISSO;;R;;;CLCALLDEP;
REFFL;;R;;;CLCALLDEP;
LPHYS;;R;;;CLCALLDEP;
CCMHO;;R;;;CLCALLDEP;
LBRAS;;R;;;CLCALLDEP;
LCBNS;;R;;;CLCALLDEP;
ABA1S;;R;;;CLCALLDEP;
LRCES;;R;;;CLCALLDEP;
LCCYS;;R;;;CLCALLDEP;
CMTLO;;R;;;CLCALLDEP;
IINTO;;R;;;CLCALLDEP;
REFFL;;R;;;ILLONDEPIN;
ABA1S;;R;;;ILLONDEPIN;
LCBNS;;R;;;ILLONDEPIN;
LCORO;;R;;;ILLONDEPIN;
RPSCH;;R;U;;ILLONDEPIN;
AASPS;;R;;;ILLONDEPIN;
RSTRT;C;R;U;;ILLONDEPIN;
PRSNL;;R;;;ILLONDEPIN;
PRNTR;;R;;;ILLONDEPIN;
RPDEF;;R;;;ILLONDEPIN;
LRCES;;R;;;ILLONDEPIN;
IGLDO;;R;;;ILLONDEPIN;
ITLDO;;R;;;ILLONDEPIN;
LPHYS;;R;;;ILLONDEPIN;
IPTIO;;R;;;ILLONDEPIN;
LCCYS;;R;;;ILLONDEPIN;
LBRAS;;R;;;ILCOMPBTS;
LBGRS;;R;;;ILCOMPBTS;
RPSCH;C;R;U;;ILCOMPBTS;
RSTRT;C;R;U;;ILCOMPBTS;
LPHYS;;R;;;ILCOMPBTS;
LRCES;;R;;;ILCOMPBTS;
AASPS;;R;;;ILCOMPBTS;
SECUR;;R;;;ILCOMPBTS;
REFFL;;R;;;ILCOMPBTS;
PRSNL;;R;;;ILCOMPBTS;
RPDEF;;R;;;ILCOMPBTS;
PRNTR;;R;;;ILCOMPBTS;
GMSGS;;R;;;ILCOMPBTS;
IGLDO;;R;U;;ILCOMPBTS;
IFXCO;;R;U;;ILCOMPBTS;
ITLDO;;R;;;ILCOMPBTS;
REFFL;;R;;;ILFWDCONAL;
RPSCH;;R;U;;ILFWDCONAL;
RSTRT;C;R;U;;ILFWDCONAL;
